catalog_page,category,part_numbers,c1,c2,c3,c4,c5,c6,raw_line
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,34610293,"90LP/4-145TC 575V-60Hz, 2 hp 34610293",,,,,,"90LP/4-145TC 575V-60Hz, 2 hp 34610293"
B83,C-face 575V-60Hz Energy Efficient Motor Part Number,60494000,Helical Input Stage H10 60494000,,,,,,Helical Input Stage H10 60494000
B83,Double Worm Adapter  116 Part Number,60494110,Inch 0.625” (requires,) 60494110,,,,,Inch 0.625” (requires     ) 60494110
B83,Double Worm Adapter  116 Part Number,60494100,Metric 14mm (requires,) 60494100,,,,,Metric 14mm (requires     ) 60494100
B83,Solid Input Shaft  119 Part Number,60494210,Solid Input Shaft 0.625” x 1.57” 60494210,,,,,,Solid Input Shaft 0.625” x 1.57” 60494210
B83,Solid Input Shaft  119 Part Number,60494200,Solid Input Shaft 16mm x 40mm 60494200,,,,,,Solid Input Shaft 16mm x 40mm 60494200
B83,Solid Input Shaft  119 Part Number,60594600,Foot Plate 0.64” / 4.69”x 6.38” 60594600,,,,,,Foot Plate 0.64” / 4.69”x 6.38” 60594600
B83,Solid Input Shaft  119 Part Number,60693500,Open Vent 60693500,,,,,,Open Vent 60693500
B83,Solid Input Shaft  119 Part Number,22008056,AUTOVENT™ 22008056,,,,,,AUTOVENT™ 22008056
B83,Solid Input Shaft  119 Part Number,60282930,Fixing Kit (Inch) 60282930,,,,,,Fixing Kit (Inch) 60282930
B83,Solid Input Shaft  119 Part Number,60282310,Fixing (Metric) 60282310,,,,,,Fixing (Metric) 60282310
B85,CONFIGURATION,60494000,Helical Input Stage H10 60494000,,,,,,Helical Input Stage H10 60494000
B85,Double Worm Adapter  116 Part Number,60494110,Inch 0.625” (requires,) 60494110,,,,,Inch 0.625” (requires     ) 60494110
B85,Double Worm Adapter  116 Part Number,60494100,Metric 14mm (requires,) 60494100,,,,,Metric 14mm (requires     ) 60494100
B85,Solid Input Shaft  119 Part Number,60494210,Solid Input Shaft 0.625” x 1.57” 60494210,,,,,,Solid Input Shaft 0.625” x 1.57” 60494210
B85,Solid Input Shaft  119 Part Number,60494200,Solid Input Shaft 16mm x 40mm 60494200,,,,,,Solid Input Shaft 16mm x 40mm 60494200
B85,Solid Input Shaft  119 Part Number,60693900,Torque Arm 60693900,,,,,,Torque Arm 60693900
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692050;60691050,i=5 60692050 60691050,,,,,,i=5 60692050 60691050
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692080;60691080,i=7 .5 60692080 60691080,,,,,,i=7 .5 60692080 60691080
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692130;60691130,i=12.5 60692130 60691130,,,,,,i=12.5 60692130 60691130
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692100;60691100,i=10 60692100 60691100,,,,,,i=10 60692100 60691100
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692150;60691150,i=15 60692150 60691150,,,,,,i=15 60692150 60691150
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692200;60691200,i=20 60692200 60691200,,,,,,i=20 60692200 60691200
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692250;60691250,i=25 60692250 60691250,,,,,,i=25 60692250 60691250
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692300;60691300,i=30 60692300 60691300,,,,,,i=30 60692300 60691300
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692400;60691400,i=40 60692400 60691400,,,,,,i=40 60692400 60691400
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692500;60691500,i=50 60692500 60691500,,,,,,i=50 60692500 60691500
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692600;60691600,i=60 60692600 60691600,,,,,,i=60 60692600 60691600
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692800;60691800,i=80 60692800 60691800,,,,,,i=80 60692800 60691800
B85,Wormgearbox 1.4375 Hollow Shaft 25mm Hollow Shaft,60692000;60691000,i=100 60692000 60691000,,,,,,i=100 60692000 60691000
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495500,NEMA 56C 60495500,,,,,,NEMA 56C 60495500
B85,NEMA and IEC Adapter 106 & 118 Part Number,60595500,NEMA 140TC 60595500,,,,,,NEMA 140TC 60595500
B85,NEMA and IEC Adapter 106 & 118 Part Number,60695500,NEMA 180TC 60695500,,,,,,NEMA 180TC 60695500
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495100,IEC 56 B14 C105 60495100,,,,,,IEC 56 B14 C105 60495100
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495200,IEC 56 B5 A120 60495200,,,,,,IEC 56 B5 A120 60495200
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495010,IEC 63 B14 C90 60495010,,,,,,IEC 63 B14 C90 60495010
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495110,IEC 63 B14 C120 60495110,,,,,,IEC 63 B14 C120 60495110
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495210,IEC 63 B5 A140 60495210,,,,,,IEC 63 B5 A140 60495210
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495020,IEC 71 B14 C105 60495020,,,,,,IEC 71 B14 C105 60495020
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495120,IEC 71 B14 C140 60495120,,,,,,IEC 71 B14 C140 60495120
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495220,IEC 71 B5 A160 60495220,,,,,,IEC 71 B5 A160 60495220
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495030,IEC 80 B14 C120 60495030,,,,,,IEC 80 B14 C120 60495030
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495130,IEC 80 B14 C160 60495130,,,,,,IEC 80 B14 C160 60495130
B85,NEMA and IEC Adapter 106 & 118 Part Number,60495230,IEC 80 B5 A200 60495230,,,,,,IEC 80 B5 A200 60495230
B85,NEMA and IEC Adapter 106 & 118 Part Number,60695040,IEC 90 B14 C140 60695040,,,,,,IEC 90 B14 C140 60695040
B85,NEMA and IEC Adapter 106 & 118 Part Number,60695140,IEC 90 B14 C160 60695140,,,,,,IEC 90 B14 C160 60695140
