vendor,product_line,component_type,gear_unit_size,total_ratio,worm_ratio,second_ratio,adapter_interface,brake,mounting_variant,nord_part_number,description,catalog_page,source_line
NORD,FLEXBLOC,gear_unit,SI63,80,80,,ANY,false,inch_hollow,60692800,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 80,B85,i=80 60692800 60691800
NORD,FLEXBLOC,gear_unit,SI63,80,80,,ANY,false,metric_hollow,60691800,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 80,B85,i=80 60692800 60691800
NORD,FLEXBLOC,gear_unit,SI63,100,100,,ANY,false,inch_hollow,60692000,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 100,B85,i=100 60692000 60691000
NORD,FLEXBLOC,gear_unit,SI63,100,100,,ANY,false,metric_hollow,60691000,Wormgearbox 1.4375 Hollow Shaft 25mm - Ratio 100,B85,i=100 60692000 60691000
NORD,FLEXBLOC,gear_unit,SI75,5,5,,ANY,false,inch_hollow,60792050,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 5,B87,i=5 60792050 60791050
NORD,FLEXBLOC,gear_unit,SI75,5,5,,ANY,false,metric_hollow,60791050,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 5,B87,i=5 60792050 60791050
NORD,FLEXBLOC,gear_unit,SI75,7.5,7.5,,ANY,false,inch_hollow,60792080,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 7.5,B87,i=7.5 60792080 60791080
NORD,FLEXBLOC,gear_unit,SI75,7.5,7.5,,ANY,false,metric_hollow,60791080,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 7.5,B87,i=7.5 60792080 60791080
NORD,FLEXBLOC,gear_unit,SI75,10,10,,ANY,false,inch_hollow,60792100,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 10,B87,i=10 60792100 60791100
NORD,FLEXBLOC,gear_unit,SI75,10,10,,ANY,false,metric_hollow,60791100,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 10,B87,i=10 60792100 60791100
NORD,FLEXBLOC,gear_unit,SI75,12.5,12.5,,ANY,false,inch_hollow,60792130,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 12.5,B87,i=12.5 60792130 60791130
NORD,FLEXBLOC,gear_unit,SI75,12.5,12.5,,ANY,false,metric_hollow,60791130,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 12.5,B87,i=12.5 60792130 60791130
NORD,FLEXBLOC,gear_unit,SI75,15,15,,ANY,false,inch_hollow,60792150,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 15,B87,i=15 60792150 60791150
NORD,FLEXBLOC,gear_unit,SI75,15,15,,ANY,false,metric_hollow,60791150,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 15,B87,i=15 60792150 60791150
NORD,FLEXBLOC,gear_unit,SI75,20,20,,ANY,false,inch_hollow,60792200,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 20,B87,i=20 60792200 60791200
NORD,FLEXBLOC,gear_unit,SI75,20,20,,ANY,false,metric_hollow,60791200,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 20,B87,i=20 60792200 60791200
NORD,FLEXBLOC,gear_unit,SI75,25,25,,ANY,false,inch_hollow,60792250,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 25,B87,i=25 60792250 60791250
NORD,FLEXBLOC,gear_unit,SI75,25,25,,ANY,false,metric_hollow,60791250,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 25,B87,i=25 60792250 60791250
NORD,FLEXBLOC,gear_unit,SI75,30,30,,ANY,false,inch_hollow,60792300,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 30,B87,i=30 60792300 60791300
NORD,FLEXBLOC,gear_unit,SI75,30,30,,ANY,false,metric_hollow,60791300,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 30,B87,i=30 60792300 60791300
NORD,FLEXBLOC,gear_unit,SI75,40,40,,ANY,false,inch_hollow,60792400,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 40,B87,i=40 60792400 60791400
NORD,FLEXBLOC,gear_unit,SI75,40,40,,ANY,false,metric_hollow,60791400,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 40,B87,i=40 60792400 60791400
NORD,FLEXBLOC,gear_unit,SI75,50,50,,ANY,false,inch_hollow,60792500,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 50,B87,i=50 60792500 60791500
NORD,FLEXBLOC,gear_unit,SI75,50,50,,ANY,false,metric_hollow,60791500,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 50,B87,i=50 60792500 60791500
NORD,FLEXBLOC,gear_unit,SI75,60,60,,ANY,false,inch_hollow,60792600,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 60,B87,i=60 60792600 60791600
NORD,FLEXBLOC,gear_unit,SI75,60,60,,ANY,false,metric_hollow,60791600,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 60,B87,i=60 60792600 60791600
NORD,FLEXBLOC,gear_unit,SI75,80,80,,ANY,false,inch_hollow,60792800,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 80,B87,i=80 60792800 60791800
NORD,FLEXBLOC,gear_unit,SI75,80,80,,ANY,false,metric_hollow,60791800,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 80,B87,i=80 60792800 60791800
NORD,FLEXBLOC,gear_unit,SI75,100,100,,ANY,false,inch_hollow,60792000,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 100,B87,i=100 60792000 60791000
NORD,FLEXBLOC,gear_unit,SI75,100,100,,ANY,false,metric_hollow,60791000,Wormgearbox 1.9375 Hollow Shaft 35mm - Ratio 100,B87,i=100 60792000 60791000
